compra,clase
examen papanicolao,4
aceite motor botella recargable,5
cortinas telas rieles mano de obra,3
bono atención antígeno prostático,4
sartén verde hogar,3
huevos blancos de gaqllina,0
prensa americana apósito,4
paasje de bus,5
galletas de vainilla sin relleno,0
degraler remedio,4
posta paleta envasada vacuno,0
medicamentos vartalam am para presión alta,4
calcetas de lana,2
cajetilla cigarros 20 und lucky,1
pasaje ida a quillota,5
poelras mujer,2
parka de hombre,2
queso crema colun,0
consultas pediatricas neumologo,4
jamonada sn jorge,0
aromatizante en gel 212 grs,3
yogurt ligth colum 4x125grs,0
control aparato fijo,4
polvo batido a granel,0
quesos rallados,0
medicamento meloxicam,4
pall mall verde 10,1
rallador triangular,3
plátano fresco,0
rodamientos kbc,5
cajetilla de cigarros x 20 unidades carnival,1
cuota claro hogar,6
locomoción ida y vuelta pasaje micro,5
examen respiratorio,4
contenedor hermético de 180 ml,3
chaleco lana color rojo mujer,2
parka hombre adulto,2
furosemida 12 comp,4
vaso c bombilla,3
polera camiseta fútbol,2
pintura de auto desabolladura,5
pasaje bus a iquique 14000 cu,5
pasaje colectivo a casa domicilio,5
cigarro pullman cajetila 20,1
pares zapatilla niña nuevas,2
pan hallulla especial ssal granel,0
pares calcetines hombre nuevos,2
secadora bosh,3
galletas sin relleno mini 40 grs cu,0
memoria usb 16 gb,6
pila 312,3
leche de vaca semidescremada envasada,0
carga tarjeta cip,5
bono atención médica fonasa,4
pastelitos chicos,0
fuzol quita manchas 2 unidades en sobre,3
tornillos de 3x1 mm,3
harina de arroz,0
cordón sspt 2x 20 negro,3
cable de datos,6
calienta camas eléctrico,3
plato plástico bowl,3
helado de chocolate cassata,0
cuchillos para cocina,3
pasajes valpo san antonio bus,5
ficha lavado auto,5
alopurinol para la gota,4
cajetilla de cigarros 10 u,1
compra de estanque para el baño,3
pad por embarazo de la polola de isaias para tener a su hijo en clínica atacama,4
consultas medicas médico general,4
ambiental para auto,5
cafetera café molido,3
hidrolazina de 50 mg 20 comp para hipertensión 5400,4
latas atún lomitos en agua,0
guantes para limpieza,3
bono de consulta médica,4
hervidor 1 12 lt,3
pasaje micro fiesta colegio,5
panty ballerina dama,2
examen de sangre glucosa,4
lote de 4 ajos,0
porotos granados congelados,0
zapatos mujer con taco,2
cambio de filtro,5
caldo polvo pollo,0
moto honda 125cc,5
consulta medicina alternativa flores de bach,4
pago de mano de obra arreglo auto,5
alcohol destilado 95,4
pasajes metro,5
esponja de lavado de loza,3
canela entera,0
pasajes aereos pta arenas stgo ida y vuelta,5
bebida gaseosa pepsi bilz kem,0
juego de sabanas 2 sabanas,3
pasajes metro horario punta y valle,5
caja diclofenaco,4
cruce auto ferry patagonia,5
neumaticos instalación,5
limpieza líquido limpiador piso flotante,3
escuadras para colgar repisas,3
crema magistral medicamento,4
reparación automóvil familiar 2 motores cremalleras cierre centralizado crucetas de cardan cambio tubo de escape 2 sensores de gases 1 mano de obra mecánico,5
pasaje yola trabajo,5
lenovo con plan,6
agua mineral con gas sin sabor 500 cc,0
limones 10 und,0
lavalozas quick,3
vestido de huasa para mujer,2
vestido de mujer de género,2
lechuga escarola fresca,0
bebida energética gatorade,0
arreglo de calefont incluye mano de obra material,3
pastel preparado brazo de reina,0
peaje la pintana,5
pan bocado de dama a granel,0
examenes de sangre perfil lipidico y tiroideo,4
pasajes de locomoción ida y vuelta auto particular coquimbotombillo,5
par de zapatos rojos de mujer,2
par de zapatos de huasa,2
blusa cm sybill dama,2
carga celular carlos,6
ajinomoto 2 sobres sazonador peruano glutamato monosodico en polvo,0
zapatillas new balance de mujer,2
pasajes curico tur bus visita de paseo,5
consulta al psiquíatra,4
trapero para pisos,3
pasajes directo hospital pereira,5
atención por traumatologico de adulto,4
pizza refrigerada pepperoni 500 g,0
pasaje lan maimi km canjeados,5
pasaje curacavi melipilla,5
soquete de algodón mujer,2
alfombra para living,3
detergente líquido matic maravilloso,3
rodillo 23 cm piscina,3
cambio de cableado eléctrico en toda la casa materiales varios,3
apple stone cerveza,1
pote cigarros,1
saborizante cola cao,0
suavizante para ropa fuzol,3
desodorante para auto recarga agua,5
control sano abril pedíatra,4
uso estacionamiemto,5
consulta médico endocrino,4
pantalones bombachos de mujer,2
dentista control ortodoncia,4
pasaje santiago molina,5
adia cigarro,1
hervidor de agua 2 lt,3
1 prótesis dental 2 extracciones 1 limpieza general dental,4
pantys de bebe nuevo,2
bencina vehículo 93 octanos,5
cajetilla de belmont corriente,1
cigarros p 20 cajetilla,1
bono radiografía mano,4
ensalada betarraga,0
remedios para desordenes psicoticos,4
pasajes de niña que cuida a los niños,5
euritox x50 comprimidos,4
lavado plumón planchado,2
pd cl bolsa basura,3
cigarrillo pallmall rojo 20,1
pasajes 4 viajes calamaiquique,5
pasaje micro escolar,5
1 atenolol 50 mg,4
pasaje discoteque casa,5
ciruela envasada,0
3 calzas mujer 1 poleron mujer,2
par zapatillas lona adulta,2
yogurt griego soprole,0
mantequilla soprole pan,0
bistec vacuno posta rosada granel,0
lomito de cerdo nacional mayorista,0
pan sin colesterol granel,0
pasajes urbanos thnoconcepcion,5
bife chorizo de vacuno,0
fierros de anticucho,3
auto susuki gran vitara,5
bolsas barquillos,0
2 consultas dentista,4
reparación pantalla celular,6
hilo cadena,2
e sangre ex orina ex tiroides,4
locomoción interurbana tcoangol,5
serv elite,3
toallas desechables nova,3
vestidos mujer adulta,2
pasajes colegio hijo,5
silla de bebe,3
avión pasajes,5
medicamento valcote para prevenir epilepsia,4
chaquetas niños,2
pack nova clásica,3
teléfono móvil prepago c minutos,6
calefont junker 5 lts,3
medicamento cinabel,4
carga bip,5
pack 12 chamitos probioticos,0
funda de asiento,5
pantalones poleras shorts faldas vestidos etc,2
antideslizante para alfombras,3
vitamina b,4
pechuga deshuesada ariztia,0
trajes de huaso varón,2
baúl 123 lts,3
bisolvon jarabe para la tos,4
vino bebida alcohólica,1
cecina de pavo cocido,0
display cucharitas,3
bolsa aseo clean,3
cerveza en lata 2790,1
pasaje locom colectiva,5
par zapatilla varón,2
detergente omo matic ropa,3
overol de hombre,2
ketoprofeno medicamento analgésico,4
estacionamiento x día,5
forro cortina der bañio,3
angelig antidepresivo,4
volante,5
caja trioval para resfrío,4
blazer mujer nuevo,2
fosforos caja grande,3
broca madera,3
caja vitamina c de 30 comprimidos,4
proteccionestuche celular,6
bebidas 2 botellas de 3 litros,0
cajas mago pad con jabón 4undx2,3
punta paleta bistec vacuno,0
examen laboratorio sangre,4
microondas thomas,3
chala dam,2
salchicha en bolsa,0
glade toque,3
arreglo de pantalón cambio de cierre,2
cerveza,1
chocolate súper 8 44 grs cu,0
queque de manzana,0
parkas abrigos,2
jugo watt,0
crema gen peel crema protectora por put,4
cloro merkat baja,3
agua benectictino,0
bols reutilizable,3
sitet pao hdm corea,5
kidney care 60 comprimidos,4
anacin pastillas dolor de cabeza,4
pago por arreglo de pies,4
toalla de papel acuenta,3
ensalada primavera,0
pasaje quilpuesantiago,5
cerveza miller,1
colectivo a puente alto,5
panquina panqueque batidora manual,3
examen proteína c reactiva por técnica net,4
t4 bago 75 mg remedio tiroides,4
manjar colum pote,0
polera crop top mujer,2
escobillón clorinda multiuso,3
queso laminado gauda 5162 kg,0
espirulina en polvo x 200 grs,4
ropa interior maternal,2
pasteles croissant 2 und,0
cera brillina líquida,3
pasaje subida,5
naproxeno sódico 550 mg,4
promoción taxi uber,5
cigarrillos 20 und,1
samsung smartphone para plan,6
cigarrillos lucky strike de 20und,1
mantilla mujer,2
par zapatos bebe niño,2
lexapro 10 mg x 28 compr 34040,4
medicamento comprimido meridian 25 mg 60,4
remedios salcobrand,4
botellas espumante valdivieso,1
caja ketoprofeno 20 und 500 mg,4
consulta pedagogía clínica,4
reacrga tarjeta bip,5
viaje radio taxi casa colegio,5
pasaje valparaiso bus,5
jugos para preparar piña en polvo,0
paquetes galletas mini 100 cu,0
molida especial,0
te en bolsitas lipton 100 u,0
consulta a psiquíatra,4
vino 14 g°,1
comedor juego,3
ensalda variedades,0
paquete de servilletas diseño,3
garros de lana,2
termómetro prism rectal,4
pago tintorería lavado de 1 plumón,2
rollo alusa 30 metros film plástico,3
medicamento antifebril,4
coleman de 32 lts,3
paquetes galletas mantequillas,0
comedor 4 sillas 1 mesa,3
amoxicilina jarabe antibiótico,4
consulta medicas traumatologa bono,4
llanta f3c,5
pasajes bus interurbano bulneschillanchillanbulnes,5
par guantes,2
juego sabanas 1 pz cannon,3
cebollines frescos,0
pasaje bus interurbano chillanpinto,5
hospitalizacion operación cadera 6 dias,4
mermeladas light 440x4,0
caja de anacin 500 mg,4
tambocor para arritmia cardiaca capsulas,4
bolsitas queso rallado,0
tela con estampado,2
hilo hawai 100 grs cu,2
marraquetas granel,0
teléfono prepago giselle,6
2 remedios para la diabetes,4
pila ecoadvance 3a,3
helado savory crema,0
comprimidos de ketorolaco dolor inflamación,4
pernos ctuerca,3
taxi el hospital a la casa carrera,5
consulta dental tratamiento dental completolimpieza extracción muelas del juiciotapadura,4
poltrona sillón,3
bip carga ida médico,5
chequeo médico,4
ropa niña cuadros ropa interior,2
jeans mujer mohicano,2
papas grandes lays fritas,0
rollos toalla de papel clásico,3
remedio para los huesos,4
pastel cachitos,0
bandeja de quesillo light de vaca,0
mueble para colocar televisor y radio,3
galletas oblea dulce con relleno 71 grs cu,0
tablas para ahumar,3
pasajes rancagua machali micro,5
galletas de agua costa,0
medicamento par los huesos bonviva,4
jugos 1 12 áloe vera,0
ampolleta de vidrio,3
fierro cortina,3
teléfono red fija nuevo,6
rayador de metal,3
maní sin sal,0
papas fritas grandes,0
paquetes dulces propole o miel,4
6 cajas crema de leche,0
herramientas varias,3
pasaje inta provincial regreso a casa,5
automóvil zuzuki celerio año 2016,5
caja caldo de costilals maggi,0
pastilla wc dual,3
camiseta blanca hijo,2
zapatos de mujer botas,2
gotitas ojos post hosp,4
queso lamiando vacaamarillo granel,0
bono pediatrico broncopulmonar,4
vestuario colegio hijo buzo niño,2
calzoncillos largo niño,2
cocina electrolux,3
antideslizante goma,3
lente para cerca,4
pasaje colectivo 5029 pero aguirre cerda mall,5
pijama yersey full mujer,2
cigarrillo blanco,1
pasajes trabajo ida y vuelta,5
maní jamón ahumado,0
jamón sandwich cerdo granel,0
pasaje urbano movilización colectiva,5
jeans hombre marca louis,2
talla micro fibra,2
vela súper,3
paracetamol bniño,4
blusa smangas negra mujer,2
1 pack calcetas 2 pares,2
jalea pote preparada,0
paquete servilletas favorita,3
losartan potasio presión,4
celular smatphone iphone 5 se sin minutos,6
tripack medias,2
máquina de soldar,3
vestido de bautizo de bebe,2
casata sabor suspiro limeño,0
docena de calceta,2
set de bowl plasticos,3
bolsa de chis pop tutifruti suflito,0
limpiapisos aroma,3
caja de remedio jarabe,4
botas lola,2
especieros de 07 cc de vidrio,3
bolsa fideos cuscus pasta seca,0
remedio para la próstata,4
tártaro 3 molida,0
medicamento eutirox tiroides,4
par zapatillas casual de hombre,2
examen de sangre vit d,4
instalación tina de baño,3
pantalón buzo mujer adulta,2
pasajes cañeteconcepcion,5
detergente de loza,3
termo alentador de agua,3
rollo de alusa plástica 20 mt,3
galleta walkers,0
casaca baby lactante,2
chicle menta dentyne,0
golilla planas,3
pasaje locomoción temuco lautaro,5
bolsa de basura virutex,3
vitamina e capsulas,4
bono urgencia,4
bolsa para molde schwarsbrot,3
helado casata chocolate 1 lt,0
boletas de metro,5
vino tinto 120 caja,1
celular solo equipo sin plan,6
botella de vino espumante,1
salsa de tomates doña clara,0
cono gel aromatizador vainilla coco,3
locomoción colectiva pasajes colectivo,5
carcasa de celular samsung,6
maletín herramientas manuales,3
pack 10 und bolsas para basura,3
molde centeno envasado,0
lerogin 30 comprimidos,4
yogurt batido frutilla 110 grs,0
consulta auriculoterapia,4
huevos gallina color grande,0
regalo falda larga,2
cigarro lucky click figura,1
cerveza artesanal ale,1
anatrin para la presión,4
canasto de ropa,3
te de 20 unid,0
crisis de colon urgencia,4
blue jeans varón matrimonio,2
tabletas paracetamol fiebre,4
toalla nova x 3 papel absorvente,3
zapatilla hombre adulto,2
mix salado maní cpasas,0
chalas bebe,2
pantalón de jeand niña,2
hisopo baño,3
stevia en gotas daily endulzante,0
2 corega cada 1 mes,4
detergente polvo omo,3
nescafe instantáneo polvo,0
pasajes en avión a buenos aires,5
tasa 500 ml,3
sobres de sal efervecentes,4
poleras hombre 9990 cu,2
rodillo de lana,3
queso reggianito,0
repisas madera,3
calcetines hombre y mujer,2
medicamento para glaucoma,4
camisa mezclilla blanca,2
bono para parto 3 dias de hospitalizacion,4
colectivo cerro centro de quilpue,5
pack yoghurt 11 con cerewal 4,0
set de baño 3 piezas colgador de toalla dispensador de confort,3
medicamentos para alergia fasarac bion alergo pastillas para colitis ulcerosa azulfidinemedicamentos para celiacos,4
pack 200 cc leche light líquida,0
toalla papel x 2 lider,3
copias de novios decoradas,3
pasaje interurbano chillanconcepcion visita familiar,5
micro 603 santa ines plan,5
medicamento tratamiento permanente,4
andar en colectivo,5
cambio de aceite todo incluido mano de obra y aceite,5
malaya cerdo,0
áloe jugo,0
sillón para living,3
pasajes centro,5
polera bebe manga corta,2
cajetilla cigarro blanco20 und,1
buzo completo poleron y pantalón hombre,2
carne vacuno posta fresca a granel,0
tratamiento dentista 2 meses,4
consulta médica tratamiento dental,4
pironal forte 200 mlg,4
remedios nastizol 120 ml infantil,4
máquina de toma de presión,4
lasaña de espinaca seco,0
ezomeprazol para estómago,4
bom bom de leche,0
botella premier carmen cabernet sauvignon,1
ballerina bebe,2
carne asado de tira envasado,0
bono fonasa pedíatra atención médica,4
consulta médico obstetra,4
espejo de vehículo suzuki swift y mano de obra de pintura de vehículo,5
hervidor de agua 17 lts,3
pasaje en avión ida y vuelta santiago,5
pan 1 molde,0
blanqueador de ropa,3
exforg comprimido,4
jugo lider,0
clorrazepan caja,4
envío carta desde santiago a chillan,6
accesorio auto aromatizador,5
enchufe macho triple,3
postre helado lúcuma,0
medicamento arcalion 30 comprimidos caja,4
par de calcetines de niña,2
scaner examenes de sangre,4
cambio aceite caja,5
ropa interior woman secret,2
abrillantador para pizarra,3
par de zapatos hombre formal,2
fideos pack,0
insulina inyecciones gotas ojos vitaminas remedio para la presión remedio para la alergia,4
pasajes bus metro,5
carne posta negra de vacuno chilena,0
boleto microbus ir a buscar a mis hijas,5
especialista nutricional hepática,4
figuras de vidrio adornos pequeños,3
clonazepam crisis de pánico,4
2 cuerdas de 3 metros cada 1,3
sandalias hombre adulto,2
café instantáneo tarro,0
cortiprex 20 mg,4
palitos de algodón,3
pasaje viña del mar quilpue,5
grapa caja,3
queso laminado ranco granel,0
tabla 6 blusa mujer,2
calefont mantencionmano de obra,3
transporte encomienda,6
agua mineral sin sabor cgas next,0
cassata panda 3 sabores,0
tallarines seco trigo,0
chaquetas de hombre,2
bus torres paine,5
operación muñeca ilegible titanio,4
glafornil diabetes,4
hipogucin 500 lp 60 copm metformina,4
paño de algodón,3
pack de clacetas niño y adulto,2
bolsas ecologicas,3
asiento de bicivleta,5
medicamento ibuprofeno 20 und,4
zanahoria en bolsa,0
toalla mandalas blanco y negro,3
bowla color,3
postres sémola con leche preparada,0
remedio,4
lentes opticos cristales y marco,4
mantención calefon arreglo mano de obra,3
copas,3
recuerdos y souvenirs especifique hierba mate poleras manes dulce cigarros,2
estacionamiento propina,5
mopa piso,3
caja cereal c frutas,0
pasaje al trabajo microbus,5
regalo de matrimonio cuchillería,3
toalla de papel 2 x,3
caja lansoprazol 30 comprimidos anrtiulceroso,4
pasaje microbus a reñaca trabajo,5
galletas rellenas mini oreo,0
servilleta lider de papel,3
life trek ampm,4
bolsa de basura aromatizada 50 unidades,3
cobertor infantil,3
examen visual en óptica,4
ropa interior mujer,2
cafetera 1 lt,3
cloro chico,3
lava cit 15 lt,3
ácido mefenamico comprimidos,4
medicamentos antibioticos antialergicos,4
pyriped forte 200 mg 10 unidades,4
conjunto niña pantalón polera,2
pasaje cerro plan,5
jenas hombre,2
mayonesa tártara,0
buzo para bebe,2
caja famotidina comprimidos reflujo,4
pijapma de polar mujer,2
malla jardín 6 x 6 mm blanco 1 x 3,3
examenes sangre orina generales,4
toldo piso,3
vestuario de dama,2
zapato ortopédico,4
pollo truto,0
lavalozas lider,3
bono atención salud pediatrica,4
caja de cigarrillos 20,1
alicate universal,3
pasajes de locomoción ida y vuelta coquimbo serena en micro,5
buzo completo hombre,2
tiritas de pollo congelados sin hueso ni piel,0
salchicha de ave,0
chalecos hombre 10000 cu,2
paquetes de doritos,0
toldo de 3x2,3
dulces varios caramelos,0
bebida 2 lt gaseosa,0
de pan corriente granel,0
loratadina en comprimidos antialergico,4
pantalón grey de mujer,2
galletas dulces bañadas en chocolate,0
pasaje en bus rancagua santiago para comprar material de trabajo,5
palta hass extra 3190kg,0
consulta médica otorrino,4
vienesasa de pollo,0
par de zapatos de vestir dama,2
limpia grasa,3
ácido bórico pvo 10,4
pastillas para el control de peso recetario magistral,4
pasaje temuco villarrica,5
juego de sabanas 2 pzas canon,3
celular prepago sin minutos sin sms ni gb,6
caldo de campo,0
cassata helado familiar,0
ballerinas para bebe pantys,2
ensaladas en bolsa brocoli,0
yogurt tradicional bolsa,0
arreglo embriague zusuki alto,5
zapatillas hija,2
smartphone entel plan,6
chalas para playa,2
gelatina en polvo,0
transporte micro urbano,5
chalas goma eva,2
lentes óptica,4
examen por anticoagulacion,4
cirugía ambulatoria implante dental,4
pasaje bus destino antofagasta,5
juego de sabana,3
riñones de cerdo,0
tocino ahumado rebanado envasado 200 grs cu,0
mica foco trasero luz retroceso,5
dermatólogo control,4
enchufe para auto,3
camioneta ford ranger,5
plafón flúor circ 22v verona,3
desodorante aerosol,3
consulta médica odontólogo,4
leche chocolate,0
botella de agua plástica,3
mermelada watts fruta,0
pan de hoja granel,0
closet de dormitorio en madera,3
yogur frutas,0
frasco vidrio con tapa,3
consulta traumatologo,4
zapatilla para niño,2
hervidor grove,3
enchufe para hogar eléctrico,3
fideos corbatas secos bolsa 2 und de 400 grs,0
consulta médico dermatólogo,4
súper 8 oblea bañada en chocolate y rellena,0
examen curva tolerancia a la glicemia,4
jugo líquido individual 7 grs,0
escobilla lavar ropa,3
bicicleta trek,5
2 rodillos 2 brochetas,3
consulta urgencia,4
pastas secas trattoria 400 grs,0
clorinda gel menta,3
cachantun agua saborizada,0
camioneta toyota four runner,5
servilletas de papel 150 unidades,3
pino aromático para automóvil,5
remedio clotrimogol remedio para infecciones en la piel,4
taxi consulta hogar,5
pares para recién nacidoszapatos,2
atún van camps 120 grs,0
queso parmesano,0
escritorio computador,3
poet fragancia perfumante de telas,3
pan ciabatta especial,0
rollos de toalla nova,3
cigarrillos 20 u corrientes,1
medicamento femenelle 20 comprimidos,4
locomoción tacna,5
carne vacuno corte asiento,0
recipiente de vidrio para comida,3
pechugas de pollo frescas a granel,0
porotos secos granel de guarda,0
fideo mascarroni secos,0
pasaje bus concepción chillan,5
medicamentos resfrío dolores musculares,4
puré instantáneo de papas,0
examenes ginecologicos preventivos,4
ex médico mamografiafonasa c,4
sobres de jugo en polvo 35 grs cu,0
ensalda lechiga pollo palta limón aceituna,0
enchufe hembra doble,3
paquetes de velas tea light,3
chequeo médico por diabetes graciela,4
cerveza artesanal golden ale,1
pollo pechuga fresca,0
calzado papa de hombre,2
paracetamol 1 gr100ml,4
pana de pollo fresca granel,0
lentes opticos organicos,4
fleet oral 2 unidades de 45 ml cu,4
jarabe para la tos palto miel,4
compra de chaleco hombre,2
envase para alimentos potes,3
jalea sabor paquetes,0
abrazadera de sujeción de aluminios,3
geniol ad 500 mg,4
farmacia ahumada remedio resfrío,4
chaleco mujer nuevo,2
lavaplatos nuevo,3
sachet vienesas de cerdo,0
repuestos caja cambio mano de obra,5
pregallina remedio 75 ug,4
barra súper 8,0
mueble para loza nuevo,3
30 comprimidos ácido mefenamico,4
pasta lassar pote,4
subida trabajo pasaje,5
yoghurt zero con lactobacilos,0
agua mineral cachantun,0
huevos de color,0
remedio para bebe maltofer gotas,4
regalo ropa mujer,2
aparato toma de presión arterial,4
instalación eléctrica diferenciales automaticos alambre nya 25 caja eléctrica conduit,3
cajetilla cigarrillos 20 unid bellmont,1
cusqueña 330 cc,1
aciclovir cremna para herpes adulto,4
consulta médico particular medicina general,4
adornos de peltre,3
radiografias rodilla cadera,4
pijamas niño,2
reparación de alternador,5
bistec vacuno envasado,0
consulta médico especialidad,4
xumadol analgésico efervescente,4
lysoform lavanda desinfectante ambientes superficies,3
nectarin durazno a granel,0
modular de cocina madera,3
sildenafil viagra,4
recarga bip tarjeta,5
omo maticpolvo,3
pan con chicharrón,0
harinas spolvo envasada,0
verdura papas granel,0
pago taller kinesiologico,4
viaje uber casa amiga,5
paquetes de guirnaldas,3
día de cama pabellón anestecista cirujano traumatologo,4
aromatizante en aceite para automóvil,5
consulta kinesiologo terapia,4
mueble cocina nuevos,3
pasaje en bus intercomunal,5
cuchara antigua,3
helados de palo cola de tigre,0
aire acondicionado,3
te club,0
higienix desinfectante,3
examen curva tolerancia a la glicemia,4
hospitalizacion 2 dias operación caldera,4
interruptor de electricidad,3
te ceylan caja,0
conservador de 100 lts,3
reparación de focos station vagón,5
servicio de balance auto,5
reparación vehículo por choque,5
medias tobilleras mujer,4
operación lentes intraocular ambos ojos pro cataratas,4
dulce membrillo en pote,0
mr músculo discos desinfectante baño,3
carga celular prepago sra velia,6
pasaje casa trabajo,5
hornos microondas,3
patitos de juguete para baño,3
pates pollo ternera queso,0
pack cerveza heineken de 330 cc cu,1
auto 2013,5
bolsita de salsa de tomate 200 grs envasado,0
limón cte,0
camisetas de algodón ml hombre,2
prótesis dental placa completa mujer,4
par de zapatos hombres,2
radiografía de tórax y cavidades perinasales,4
pilas doble 1,3
estacionamiento auto en supermercado,5
mitones de lactante,2
ropa escolar,2
tawxi tarifa única sin boleta,5
zapatillas personal,2
cigarro 20 und cu,1
aguja para cocer,3
pares de botas hija 1 año,2
viaje a temuco,5
radiador agua accent 98,5
traslado trabajo taxi uber,5
toalla secante lider,3
lentes opticos y pafas optcias,4
bolsa súper,3
olla teflon,3
quesillo fresco trozo,0
maggi pollo 12 calugas,0
aceitunas en bolsa,0
ropa de niño pantalón polera,2
leche svelty polvo bolsa,0
calceta para hombre,2
aerosol desinfectante spray,3
calzas y poleras mujer,2
gasolina 95 28777 litros,5
vestuario niños pantalón poleron chaleco,2
camioneta station hyndai,5
toc de senos paranasales,4
sésamo natural,0
mano de obra arreglo calefont,3
operación por sinusitis,4
eltovenz com 2 mg x30 vejiga,4
cirugía ambulatoria operación pierna,4
remedio bisolvon,4
bolsa basura 2x830,3
viaje desde parque dpto la araucana walk martinez hasta quebrada de macul,5
escritorio nuevo,3
sandias frescas a granel,0
pasaje adulto microbus 450 x 4,5
repuestos gasto inesperado auto,5
ergo calciferol huesos,4
frasco ketchup heing tomate,0
chuletas chancho,0
retapizado de sillas,3
par de zapatillas hombre adulto,2
cebolla malla blanca,0
cama de 2 plazas cama americana,3
kg carne de pavo,0
polera bebe de 1 año,2
hipoglucin medicamento diabetes,4
margarina regimel,0
caldo natural carne en polvo,0
queso crema sabor salame embutido,0
condimento tomillo,0
cordones trabajo jardín infantil antonia,2
remedio para flema flemex jat en jarabe,4
cloro maxi gel,3
te emblem,0
torta 3 leches,0
bebidas gaseosa azucarada,0
chicha,1
botellas de agua mineral sin sabor 330 cc,0
pisco sour mango capel,1
scaner a rodilla izquierda,4
limpieza de tambores balatas,5
consultas psicólogo niño 13000 cu,4
ampolleta de un foco delantero,5
abre latas,3
lencería infantil,2
fideos fetuccini,0
radiografía de tórax examen de sangre completo examen de orina completo examen de deposiciones,4
mueble de cocina base,3
medicamento dal,4
pasaje colectivo 5029 pedro aguirre cerda mall plaza,5
clorox líquido,3
vestido cumpleaños nieta,2
papas fritas 250 grs,0
materiales electricos cables y cajas interruptores elect,3
lavadora ropa,3
repuestos hidraulicos,5
jersey fancy de mujer,2
paquetes de galletas waffer dulces,0
recarga a celular movistar,6
limpiador líquido de piso poet,3
sabana de polar 1 12,3
autoo usado cevrolet optra,5
set pilas alcalinas,3
guarda barras,5
patanol para alergia,4
pan corrieente a granel,0
medicamento asicot antipsicoticos neurolepticos,4
pasaje traslado en radio taxi,5
radiografía tiroides,4
examen diabetes y colesterol,4
acerdil comprimidos 5 mg x 30 antihipertensivo,4
chuleta vetada de cerdo granel,0
poleron bebe,2
tortilla p vil,0
mg de paracetamol,4
bandejas queque,3
atrovent medicamento,4
vienesas tradicionales 5 unidades,0
sra planchado,3
pantys mujer nuevo,2
nescafe tradicional,0
comedor 8 sillas,3
zapatillas camila niña,2
camarote nuevo,3
calzado zapatos mujer,2
de pescado fileteado p frito,0
transformador para raspberry pi5v,3
panty media,2
cerveza pack ma 48 g 4 unidades,1
ropa de hombre adolescente,2
batería para juguete,3
pijama de polar mujer,2
par calcetines deportivos santiago,2
perfil hepático perfil lipido angero prostático,4
argollas para cortinaje de metal,3
consulta médica neurología,4
piyama niño,2
harina tradicional polvo envasada,0
accesorios celular carcazas,6
3 und pijamas hombre y mujer 2 grande 1 infantil niño,2
tutos de alas pollo,0
pantufla de mujer,2
cinturón ajustable perro,2
apple music,6
sopas en polvo caracoles,0
prepago celular,6
recuerdos y souvenirs especifique 2 polera de mujer,2
yoghurt griego trozo,0
poleras colegio 4,2
botella detergente loza,3
señores psicologos,4
recarga celular marido,6
coca cola desechable light,0
lasagna para preparar en caja,0
chapa vuelta calle,3
paquetes de tallarines secos,0
madeja de hilo crochet,2
recarga celular prepago giancarlo,6
depósito asesora del hogar,3
comisa y pantalones hombre,2
mueble de living,3
par de medias de niña,2
camisetas universidad de chile,2
estacionamiento parquimetro,5
ají en crema pote plástico,0
pantys para mujer,2
cama de dos plazas nueva,3
bono consulta médica pediatrica,4
postre chandelle 130 grs,0
rx,4
mate bombilla,3
capsulas profenid 50 mg,4
flan colun preparado,0
botella de vidrio,3
gasa apósito,4
piluchos pack 3 und lactantes,2
teléfono prepago abelino,6
marraqueta y hallulla corriente granel,0
pantalón uniforme escolar,2
cambio neumaticos,5
recarga para celular,6
sobre sopas preparada,0
caja para camping,3
carne de vacuno coluda,0
galleta tritón máquina,0
cajetilla cigarrillos 10 un,1
oftalmólogo ranovacion lentes contacto,4
moto marca suzuki,5
tp lider no recuerda,3
ropa pantalón hombre,2
cilantro granel,0
primavera de verduras cogeladas,0
silla comensal sitiales,3
tapa estampada,3
servicios radiotaxi idavuelta trab ajo,5
ropa de lactante,2
cambio de interior,5
calcio 500800 elcal d 60 capsulas,4
delantal pantalón y zapatos terrenos y practicas,2
galletas craquelet,0
ficha lavado,5
gel anti callosidades,4
recuerdos y souvenirs especifique conchas de mar,3
leche chocolate de 250 ml cu,0
pantalón huaso de hombre,2
recargo celular movistar,6
taxi estación central las rejas,5
caja paracetamol en pastillas 20 und,4
bistec vacuno envasado,0
peaje gabriela paciente,5
tornillos aro,3
micros interurbanas,5
pasaje colectivo sodimac a claro solar,5
torta panqueque naranja,0
recargo móvil,6
cama 2 plazas con 2 veladores resplado ropa de cama,3
cambio de pernos loza de baño,3
bowl para salsa venta especial,3
trozo de carne tipo vacunoasiento,0
servilleta cocktail,3
campanario sour bebida alcohólica,1
limpador cloro 2,3
celular samsung j1 con plan,6
ecografia doppler ultra sonido,4
polera soy luna talla 10 de niña,2
bolsa de basura 10 u,3
una radio taxi traslado,5
liquadora 13 lts lg,3
botones para chaqueta,2
examen general tiroide orina venoso en adulto,4
cotona beyge niño,2
cinta adhesiva masking tape,3
examen completo sangre orinaeco transvaginal,4
bombas de agua,5
polvo royal para hornear,0
viaje a aruba,5
servilleta 1 paquete,3
ketoprofeno medicamento,4
cable lámpara,3
pastel con relleno,0
